,price,area
0,13300000,7420
1,12250000,8960
2,12250000,9960
3,12215000,7500
4,11410000,7420
5,10850000,7500
6,10150000,8580
7,10150000,16200
8,9870000,8100
9,9800000,5750
10,9800000,13200
11,9681000,6000
12,9310000,6550
13,9240000,3500
14,9240000,7800
15,9100000,6000
16,9100000,6600
17,8960000,8500
18,8890000,4600
19,8855000,6420
20,8750000,4320
21,8680000,7155
22,8645000,8050
23,8645000,4560
24,8575000,8800
25,8540000,6540
26,8463000,6000
27,8400000,8875
28,8400000,7950
29,8400000,5500
30,8400000,7475
31,8400000,7000
32,8295000,4880
33,8190000,5960
34,8120000,6840
35,8080940,7000
36,8043000,7482
37,7980000,9000
38,7962500,6000
39,7910000,6000
40,7875000,6550
41,7840000,6360
42,7700000,6480
43,7700000,6000
44,7560000,6000
45,7560000,6000
46,7525000,6000
47,7490000,6600
48,7455000,4300
49,7420000,7440
50,7420000,7440
51,7420000,6325
52,7350000,6000
53,7350000,5150
54,7350000,6000
55,7350000,6000
56,7343000,11440
57,7245000,9000
58,7210000,7680
59,7210000,6000
60,7140000,6000
61,7070000,8880
62,7070000,6240
63,7035000,6360
64,7000000,11175
65,6930000,8880
66,6930000,13200
67,6895000,7700
68,6860000,6000
69,6790000,12090
70,6790000,4000
71,6755000,6000
72,6720000,5020
73,6685000,6600
74,6650000,4040
75,6650000,4260
76,6650000,6420
77,6650000,6500
78,6650000,5700
79,6650000,6000
80,6629000,6000
81,6615000,4000
82,6615000,10500
83,6580000,6000
84,6510000,3760
85,6510000,8250
86,6510000,6670
87,6475000,3960
88,6475000,7410
89,6440000,8580
90,6440000,5000
91,6419000,6750
92,6405000,4800
93,6300000,7200
94,6300000,6000
95,6300000,4100
96,6300000,9000
97,6300000,6400
98,6293000,6600
99,6265000,6000
100,6230000,6600
101,6230000,5500
102,6195000,5500
103,6195000,6350
104,6195000,5500
105,6160000,4500
106,6160000,5450
107,6125000,6420
108,6107500,3240
109,6090000,6615
110,6090000,6600
111,6090000,8372
112,6083000,4300
113,6083000,9620
114,6020000,6800
115,6020000,8000
116,6020000,6900
117,5950000,3700
118,5950000,6420
119,5950000,7020
120,5950000,6540
121,5950000,7231
122,5950000,6254
123,5950000,7320
124,5950000,6525
125,5943000,15600
126,5880000,7160
127,5880000,6500
128,5873000,5500
129,5873000,11460
130,5866000,4800
131,5810000,5828
132,5810000,5200
133,5810000,4800
134,5803000,7000
135,5775000,6000
136,5740000,5400
137,5740000,4640
138,5740000,5000
139,5740000,6360
140,5740000,5800
141,5652500,6660
142,5600000,10500
143,5600000,4800
144,5600000,4700
145,5600000,5000
146,5600000,10500
147,5600000,5500
148,5600000,6360
149,5600000,6600
150,5600000,5136
151,5565000,4400
152,5565000,5400
153,5530000,3300
154,5530000,3650
155,5530000,6100
156,5523000,6900
157,5495000,2817
158,5495000,7980
159,5460000,3150
160,5460000,6210
161,5460000,6100
162,5460000,6600
163,5425000,6825
164,5390000,6710
165,5383000,6450
166,5320000,7800
